 

stn;time;rre150mx
TIBIG;200403;33.2
TIBIG;200404;35.6
TIBIG;200405;62.1
TIBIG;200406;8.8
TIBIG;200407;34.9
TIBIG;200408;46.8
TIBIG;200409;34.8
TIBIG;200410;69.6
TIBIG;200411;70.2
TIBIG;200412;34.3
TIBIG;200501;9.5
TIBIG;200502;3.3
TIBIG;200503;24.2
TIBIG;200504;40.4
TIBIG;200505;28.1
TIBIG;200506;52.0
TIBIG;200507;53.7
TIBIG;200508;49.0
TIBIG;200509;32.5
TIBIG;200510;15.2
TIBIG;200511;6.0
TIBIG;200512;30.9
TIBIG;200601;45.1
TIBIG;200602;79.9
TIBIG;200603;10.9
TIBIG;200604;22.7
TIBIG;200605;35.8
TIBIG;200606;18.7
TIBIG;200607;10.9
TIBIG;200608;109.6
TIBIG;200609;51.1
TIBIG;200610;46.1
TIBIG;200611;29.1
TIBIG;200612;135.6
TIBIG;200701;39.5
TIBIG;200702;17.8
TIBIG;200703;23.2
TIBIG;200704;14.6
TIBIG;200705;19.7
TIBIG;200706;89.5
TIBIG;200707;34.7
TIBIG;200708;50.8
TIBIG;200709;34.9
TIBIG;200710;2.8
TIBIG;200711;45.0
TIBIG;200712;12.0
TIBIG;200801;41.4
TIBIG;200802;15.3
TIBIG;200803;19.1
TIBIG;200804;30.7
TIBIG;200805;40.9
TIBIG;200806;32.2
TIBIG;200807;43.9
TIBIG;200808;38.8
TIBIG;200809;139.7
TIBIG;200810;87.7
TIBIG;200811;53.7
TIBIG;200812;37.3
TIBIG;200901;8.2
TIBIG;200902;60.7
TIBIG;200903;75.6
TIBIG;200904;146.3
TIBIG;200905;25.0
TIBIG;200906;102.0
TIBIG;200907;110.3
TIBIG;200908;26.5
TIBIG;200909;30.5
TIBIG;200910;31.7
TIBIG;200911;72.3
TIBIG;200912;39.2
TIBIG;201001;19.9
TIBIG;201002;13.8
TIBIG;201003;47.7
TIBIG;201004;20.4
TIBIG;201005;51.2
TIBIG;201006;41.9
TIBIG;201007;14.0
TIBIG;201008;45.1
TIBIG;201009;58.4
TIBIG;201010;83.2
TIBIG;201011;71.5
TIBIG;201012;45.8
TIBIG;201101;13.4
TIBIG;201102;17.0
TIBIG;201103;42.0
TIBIG;201104;5.2
TIBIG;201105;29.4
TIBIG;201106;37.7
TIBIG;201107;123.3
TIBIG;201108;56.5
TIBIG;201109;34.3
TIBIG;201110;49.1
TIBIG;201111;84.7
TIBIG;201112;20.2
TIBIG;201201;28.9
TIBIG;201202;0.6
TIBIG;201203;61.9
TIBIG;201204;69.5
TIBIG;201205;24.4
TIBIG;201206;70.5
TIBIG;201207;35.5
TIBIG;201208;62.7
TIBIG;201209;111.1
TIBIG;201210;45.5
TIBIG;201211;75.2
TIBIG;201212;9.5
TIBIG;201301;15.4
TIBIG;201302;5.4
TIBIG;201303;15.9
TIBIG;201304;107.9
TIBIG;201305;76.7
TIBIG;201306;23.0
TIBIG;201307;36.6
TIBIG;201308;66.2
TIBIG;201309;37.3
TIBIG;201310;39.4
TIBIG;201311;26.7
TIBIG;201312;130.0
TIBIG;201401;31.9
TIBIG;201402;52.7
TIBIG;201403;52.6
TIBIG;201404;35.9
TIBIG;201405;77.4
TIBIG;201406;28.3
TIBIG;201407;36.3
TIBIG;201408;29.2
TIBIG;201409;5.4
TIBIG;201410;73.4
TIBIG;201411;166.6
TIBIG;201412;9.2
TIBIG;201501;71.1
TIBIG;201502;50.1
TIBIG;201503;22.2
TIBIG;201504;13.7
TIBIG;201505;39.5
TIBIG;201506;26.1
TIBIG;201507;17.2
TIBIG;201508;24.3
TIBIG;201509;56.4
TIBIG;201510;52.9
TIBIG;201511;10.1
TIBIG;201512;0.0
TIBIG;201601;12.4
TIBIG;201602;36.3
TIBIG;201603;45.1
TIBIG;201604;32.1
TIBIG;201605;45.5
TIBIG;201606;79.9
TIBIG;201607;28.5
TIBIG;201608;19.9
TIBIG;201609;31.1
TIBIG;201610;73.2
TIBIG;201611;53.6
TIBIG;201612;7.5
