 

stn;time;rre150mx
CPP;195901;12.4
CPP;195902;0.3
CPP;195903;8.7
CPP;195904;16.0
CPP;195905;5.6
CPP;195906;19.3
CPP;195907;23.5
CPP;195908;15.5
CPP;195909;4.2
CPP;195910;8.3
CPP;195911;12.2
CPP;195912;26.8
CPP;196001;19.0
CPP;196002;40.2
CPP;196003;17.8
CPP;196004;2.5
CPP;196005;13.1
CPP;196006;13.9
CPP;196007;25.8
CPP;196008;27.4
CPP;196009;12.7
CPP;196010;9.0
CPP;196011;11.5
CPP;196012;7.0
CPP;196101;25.0
CPP;196102;19.1
CPP;196103;4.5
CPP;196104;20.1
CPP;196105;11.6
CPP;196106;20.8
CPP;196107;13.2
CPP;196108;16.2
CPP;196109;3.5
CPP;196110;24.0
CPP;196111;17.5
CPP;196112;24.2
CPP;196201;34.0
CPP;196202;29.5
CPP;196203;19.5
CPP;196204;16.7
CPP;196205;5.2
CPP;196206;36.5
CPP;196207;9.4
CPP;196208;4.6
CPP;196209;8.1
CPP;196210;1.3
CPP;196211;36.6
CPP;196212;35.7
CPP;196301;10.6
CPP;196302;13.8
CPP;196303;31.9
CPP;196304;9.5
CPP;196305;13.3
CPP;196306;13.8
CPP;196307;11.0
CPP;196308;42.3
CPP;196309;6.6
CPP;196310;16.0
CPP;196311;17.3
CPP;196312;1.8
CPP;196401;1.0
CPP;196402;5.2
CPP;196403;12.0
CPP;196404;12.0
CPP;196405;12.2
CPP;196406;25.8
CPP;196407;7.5
CPP;196408;21.7
CPP;196409;23.7
CPP;196410;19.5
CPP;196411;13.5
CPP;196412;6.2
CPP;196501;12.0
CPP;196502;1.0
CPP;196503;16.8
CPP;196504;9.4
CPP;196505;21.6
CPP;196506;16.0
CPP;196507;32.4
CPP;196508;28.3
CPP;196509;14.6
CPP;196510;1.2
CPP;196511;30.0
CPP;196512;30.7
CPP;196601;14.0
CPP;196602;56.1
CPP;196603;13.5
CPP;196604;12.5
CPP;196605;8.3
CPP;196606;4.6
CPP;196607;9.2
CPP;196608;17.3
CPP;196609;7.1
CPP;196610;12.6
CPP;196611;14.2
CPP;196612;14.6
CPP;196701;11.4
CPP;196702;26.3
CPP;196703;16.1
CPP;196704;2.5
CPP;196705;16.8
CPP;196706;9.1
CPP;196707;15.2
CPP;196708;15.4
CPP;196709;10.0
CPP;196710;9.2
CPP;196711;8.7
CPP;196712;12.4
CPP;196801;33.8
CPP;196802;7.8
CPP;196803;3.9
CPP;196804;10.6
CPP;196805;3.8
CPP;196806;18.3
CPP;196807;16.0
CPP;196808;14.4
CPP;196809;38.6
CPP;196810;9.0
CPP;196811;61.7
CPP;196812;29.1
CPP;196901;5.0
CPP;196902;10.5
CPP;196903;3.0
CPP;196904;27.0
CPP;196905;11.0
CPP;196906;21.0
CPP;196907;15.3
CPP;196908;26.0
CPP;196909;9.0
CPP;196910;1.9
CPP;196911;27.8
CPP;196912;13.3
CPP;197001;7.5
CPP;197002;35.0
CPP;197003;10.0
CPP;197004;21.5
CPP;197005;14.1
CPP;197006;10.4
CPP;197007;8.3
CPP;197008;17.3
CPP;197009;13.8
CPP;197010;4.8
CPP;197011;9.6
CPP;197012;5.5
