 

stn;time;rre150mx
DLEGN;200407;33.1
DLEGN;200408;11.8
DLEGN;200409;8.2
DLEGN;200410;19.7
DLEGN;200411;4.3
DLEGN;200412;21.0
DLEGN;200501;11.5
DLEGN;200502;17.4
DLEGN;200503;15.5
DLEGN;200504;17.0
DLEGN;200505;19.8
DLEGN;200506;11.1
DLEGN;200507;19.7
DLEGN;200508;7.9
DLEGN;200509;18.0
DLEGN;200510;18.1
DLEGN;200511;7.0
DLEGN;200512;12.4
DLEGN;200601;10.5
DLEGN;200602;12.1
DLEGN;200603;28.1
DLEGN;200604;46.5
DLEGN;200605;14.9
DLEGN;200606;28.8
DLEGN;200607;15.5
DLEGN;200608;20.0
DLEGN;200609;22.3
DLEGN;200610;12.5
DLEGN;200611;7.1
DLEGN;200612;9.2
DLEGN;200701;16.9
DLEGN;200702;15.9
DLEGN;200703;8.3
DLEGN;200704;2.4
DLEGN;200705;20.4
DLEGN;200706;30.6
DLEGN;200707;30.2
DLEGN;200708;37.6
DLEGN;200709;10.3
DLEGN;200710;1.4
DLEGN;200711;10.5
DLEGN;200712;15.0
DLEGN;200801;28.3
DLEGN;200802;3.7
DLEGN;200803;18.1
DLEGN;200804;19.3
DLEGN;200805;4.8
DLEGN;200806;18.8
DLEGN;200807;13.7
DLEGN;200808;37.4
DLEGN;200809;42.3
