 

stn;time;rre150mx
LUSEM;201805;17.4
LUSEM;201806;18.9
LUSEM;201807;15.6
LUSEM;201808;22.0
LUSEM;201809;78.7
LUSEM;201810;22.1
LUSEM;201811;4.2
LUSEM;201812;24.7
LUSEM;201901;12.8
LUSEM;201902;12.7
LUSEM;201903;12.2
LUSEM;201904;17.9
LUSEM;201905;22.8
LUSEM;201906;26.1
LUSEM;201907;22.5
LUSEM;201908;25.5
LUSEM;201909;36.2
LUSEM;201910;22.9
LUSEM;201911;15.1
LUSEM;201912;7.8
LUSEM;202001;12.7
LUSEM;202002;17.8
LUSEM;202003;12.3
LUSEM;202004;18.6
LUSEM;202005;20.3
LUSEM;202006;51.9
LUSEM;202007;28.7
LUSEM;202008;56.5
LUSEM;202009;9.1
