 

stn;time;rre150mx
BMU;190001;17.3
BMU;190002;18.3
BMU;190003;10.2
BMU;190004;10.4
BMU;190005;15.6
BMU;190006;18.4
BMU;190007;39.8
BMU;190008;33.1
BMU;190009;17.1
BMU;190010;12.5
BMU;190011;18.0
BMU;190012;15.7
BMU;190101;10.5
BMU;190102;9.1
BMU;190103;36.8
BMU;190104;48.3
BMU;190105;8.7
BMU;190106;35.0
BMU;190107;32.2
BMU;190108;22.6
BMU;190109;16.0
BMU;190110;17.9
BMU;190111;21.2
BMU;190112;19.0
BMU;190201;14.2
BMU;190202;23.3
BMU;190203;20.2
BMU;190204;20.0
BMU;190205;29.6
BMU;190206;19.5
BMU;190207;18.1
BMU;190208;28.6
BMU;190209;22.3
BMU;190210;41.8
BMU;190211;9.2
BMU;190212;12.8
BMU;190301;12.4
BMU;190302;24.6
BMU;190303;23.2
BMU;190304;15.1
BMU;190305;11.1
BMU;190306;24.0
BMU;190307;41.2
BMU;190308;29.2
BMU;190309;42.4
BMU;190310;22.3
BMU;190311;20.8
BMU;190312;7.1
BMU;190401;10.7
BMU;190402;18.0
BMU;190403;19.4
BMU;190404;13.5
BMU;190405;32.4
BMU;190406;45.5
BMU;190407;15.0
BMU;190408;20.1
BMU;190409;23.6
BMU;190410;20.4
BMU;190411;13.8
BMU;190412;30.0
BMU;190501;14.0
BMU;190502;7.0
BMU;190503;25.0
BMU;190504;17.3
BMU;190505;22.0
BMU;190506;22.7
BMU;190507;18.8
BMU;190508;67.0
BMU;190509;13.7
BMU;190510;16.0
BMU;190511;14.0
BMU;190512;25.3
BMU;190601;13.3
BMU;190602;15.5
BMU;190603;12.8
BMU;190604;10.0
BMU;190605;53.3
BMU;190606;53.0
BMU;190607;26.5
BMU;190608;10.2
BMU;190609;10.0
BMU;190610;18.0
BMU;190611;11.5
BMU;190612;27.0
BMU;190701;16.7
BMU;190702;20.0
BMU;190703;30.0
BMU;190704;20.4
BMU;190705;8.0
BMU;190706;30.0
BMU;190707;45.0
BMU;190708;28.5
BMU;190709;21.0
BMU;190710;25.0
BMU;190711;9.0
BMU;190712;26.7
BMU;190801;14.3
BMU;190802;25.7
BMU;190803;15.5
BMU;190804;16.8
BMU;190805;32.0
BMU;190806;50.0
BMU;190807;47.0
BMU;190808;24.4
BMU;190809;46.2
BMU;190810;5.5
BMU;190811;23.3
BMU;190812;15.7
BMU;190901;8.9
BMU;190902;12.1
BMU;190903;14.0
BMU;190904;20.7
BMU;190905;25.8
BMU;190906;41.5
BMU;190907;31.6
BMU;190908;18.2
BMU;190909;14.5
BMU;190910;14.3
BMU;190911;10.5
BMU;190912;28.5
BMU;191001;67.2
BMU;191002;35.5
BMU;191003;13.0
BMU;191004;19.0
BMU;191005;21.5
BMU;191006;55.0
BMU;191007;16.0
BMU;191008;49.2
BMU;191009;37.8
BMU;191010;10.6
BMU;191011;26.0
BMU;191012;40.7
BMU;191101;6.8
BMU;191102;12.0
BMU;191103;27.6
BMU;191104;7.8
BMU;191105;25.0
BMU;191106;39.5
