 

stn;time;rre150mx
BEKRA;200001;5.5
BEKRA;200002;20.9
BEKRA;200003;12.4
BEKRA;200004;19.1
BEKRA;200005;26.2
BEKRA;200006;60.9
BEKRA;200007;31.6
BEKRA;200008;29.5
BEKRA;200009;28.2
BEKRA;200010;12.7
BEKRA;200011;19.2
BEKRA;200012;12.6
BEKRA;200101;32.2
BEKRA;200102;25.0
BEKRA;200103;30.7
BEKRA;200104;21.9
BEKRA;200105;6.7
BEKRA;200106;54.5
BEKRA;200107;44.3
BEKRA;200108;30.1
BEKRA;200109;22.4
BEKRA;200110;15.8
BEKRA;200111;14.8
BEKRA;200112;11.7
BEKRA;200201;15.1
BEKRA;200202;20.6
BEKRA;200203;24.0
BEKRA;200204;21.1
BEKRA;200205;34.7
BEKRA;200206;55.7
BEKRA;200207;31.6
BEKRA;200208;33.6
BEKRA;200209;27.2
BEKRA;200210;20.0
BEKRA;200211;34.2
BEKRA;200212;23.4
BEKRA;200301;9.0
BEKRA;200302;19.6
BEKRA;200303;10.8
BEKRA;200304;13.6
BEKRA;200305;23.6
BEKRA;200306;22.6
BEKRA;200307;38.3
BEKRA;200308;33.5
BEKRA;200309;13.2
BEKRA;200310;21.6
BEKRA;200311;19.4
BEKRA;200312;5.7
BEKRA;200401;27.4
BEKRA;200402;18.2
BEKRA;200403;12.8
BEKRA;200404;15.5
BEKRA;200405;32.9
BEKRA;200406;62.2
BEKRA;200407;31.3
BEKRA;200408;24.5
BEKRA;200409;19.8
BEKRA;200410;25.5
BEKRA;200411;4.6
BEKRA;200412;15.9
BEKRA;200501;7.8
BEKRA;200502;16.2
BEKRA;200503;12.0
BEKRA;200504;20.5
BEKRA;200505;18.5
BEKRA;200506;14.9
BEKRA;200507;15.5
BEKRA;200508;46.9
BEKRA;200509;33.5
BEKRA;200510;30.9
BEKRA;200511;14.6
BEKRA;200512;14.9
BEKRA;200601;12.0
BEKRA;200602;15.8
BEKRA;200603;34.9
BEKRA;200604;55.9
BEKRA;200605;29.4
BEKRA;200606;10.7
BEKRA;200607;41.0
BEKRA;200608;23.1
BEKRA;200609;86.2
BEKRA;200610;19.0
BEKRA;200611;10.2
BEKRA;200612;27.9
BEKRA;200701;21.8
BEKRA;200702;16.6
BEKRA;200703;35.7
BEKRA;200704;3.4
BEKRA;200705;30.6
BEKRA;200706;40.1
BEKRA;200707;37.9
BEKRA;200708;74.6
BEKRA;200709;24.9
BEKRA;200710;9.8
BEKRA;200711;6.5
BEKRA;200712;17.4
BEKRA;200801;17.5
BEKRA;200802;11.9
BEKRA;200803;13.5
BEKRA;200804;21.5
BEKRA;200805;9.4
BEKRA;200806;41.4
BEKRA;200807;32.1
BEKRA;200808;42.6
BEKRA;200809;44.2
BEKRA;200810;27.9
BEKRA;200811;9.7
BEKRA;200812;16.6
BEKRA;200901;23.1
BEKRA;200902;13.3
BEKRA;200903;14.9
BEKRA;200904;6.8
BEKRA;200905;33.5
BEKRA;200906;20.6
BEKRA;200907;31.8
BEKRA;200908;40.5
BEKRA;200909;23.6
BEKRA;200910;9.0
BEKRA;200911;24.6
BEKRA;200912;25.7
BEKRA;201001;8.1
BEKRA;201002;16.3
BEKRA;201003;11.0
BEKRA;201004;5.8
BEKRA;201005;36.4
BEKRA;201006;22.2
BEKRA;201007;26.7
BEKRA;201008;80.9
BEKRA;201009;24.6
BEKRA;201010;13.1
