 

stn;time;rre150mx
ERB;196901;7.7
ERB;196902;8.9
ERB;196903;16.7
ERB;196904;28.4
ERB;196905;14.9
ERB;196906;33.5
ERB;196907;25.0
ERB;196908;40.2
ERB;196909;25.7
ERB;196910;6.2
ERB;196911;33.3
ERB;196912;21.2
ERB;197001;13.0
ERB;197002;45.7
ERB;197003;23.8
ERB;197004;23.9
ERB;197005;14.5
ERB;197006;23.8
ERB;197007;39.7
ERB;197008;38.7
ERB;197009;32.4
ERB;197010;12.4
ERB;197011;16.8
ERB;197012;7.5
ERB;197101;12.1
ERB;197102;18.0
ERB;197103;14.4
ERB;197104;10.5
ERB;197105;16.6
ERB;197106;26.0
ERB;197107;19.6
ERB;197108;36.1
ERB;197109;14.4
ERB;197110;25.0
ERB;197111;51.4
ERB;197112;16.5
ERB;197201;4.1
ERB;197202;8.7
ERB;197203;8.0
ERB;197204;24.5
ERB;197205;14.4
ERB;197206;31.8
ERB;197207;33.0
ERB;197208;28.9
ERB;197209;14.5
ERB;197210;49.9
ERB;197211;44.8
ERB;197212;13.0
ERB;197301;25.1
ERB;197302;19.5
ERB;197303;8.4
ERB;197304;17.3
ERB;197305;14.4
ERB;197306;66.1
ERB;197307;36.2
ERB;197308;29.2
ERB;197309;38.6
ERB;197310;24.4
ERB;197311;28.8
ERB;197312;24.4
ERB;197401;11.9
ERB;197402;19.1
ERB;197403;21.4
ERB;197404;15.4
ERB;197405;22.2
ERB;197406;37.0
ERB;197407;19.2
ERB;197408;29.1
ERB;197409;31.4
ERB;197410;28.5
ERB;197411;27.4
ERB;197412;17.3
ERB;197501;23.3
ERB;197502;16.8
ERB;197503;11.3
ERB;197504;23.5
ERB;197505;33.9
ERB;197506;39.8
ERB;197507;19.8
ERB;197508;29.4
ERB;197509;20.8
ERB;197510;41.0
ERB;197511;33.0
ERB;197512;7.1
ERB;197601;15.7
ERB;197602;21.2
ERB;197603;6.9
ERB;197604;37.3
ERB;197605;20.8
ERB;197606;32.6
ERB;197607;35.8
ERB;197608;17.2
ERB;197609;19.9
ERB;197610;15.3
ERB;197611;23.7
ERB;197612;37.0
ERB;197701;19.2
ERB;197702;31.0
ERB;197703;12.1
ERB;197704;23.5
ERB;197705;16.1
ERB;197706;23.0
ERB;197707;61.4
ERB;197708;23.4
ERB;197709;15.5
ERB;197710;25.1
ERB;197711;43.8
ERB;197712;23.3
ERB;197801;25.9
ERB;197802;49.5
ERB;197803;45.1
ERB;197804;22.2
ERB;197805;23.6
ERB;197806;49.0
ERB;197807;12.4
ERB;197808;56.7
ERB;197809;13.3
ERB;197810;15.6
ERB;197811;11.5
ERB;197812;21.0
ERB;197901;28.9
ERB;197902;25.8
ERB;197903;30.7
ERB;197904;18.4
ERB;197905;18.2
ERB;197906;41.7
ERB;197907;20.9
ERB;197908;26.9
ERB;197909;26.9
ERB;197910;36.4
ERB;197911;41.0
ERB;197912;41.4
ERB;198001;31.4
ERB;198002;32.2
ERB;198003;12.5
ERB;198004;18.5
ERB;198005;14.8
ERB;198006;23.4
ERB;198007;33.7
ERB;198008;39.3
ERB;198009;34.4
ERB;198010;52.4
ERB;198011;17.8
ERB;198012;13.8
ERB;198101;24.9
ERB;198102;12.3
ERB;198103;47.8
ERB;198104;14.4
ERB;198105;31.8
ERB;198106;31.1
ERB;198107;62.6
ERB;198108;24.4
ERB;198109;32.7
ERB;198110;36.2
ERB;198111;26.8
ERB;198112;37.5
ERB;198201;60.0
ERB;198202;11.0
ERB;198203;12.3
ERB;198204;24.2
ERB;198205;20.3
ERB;198206;30.6
ERB;198207;36.6
ERB;198208;27.8
ERB;198209;21.8
ERB;198210;21.5
ERB;198211;26.1
ERB;198212;32.0
ERB;198301;33.9
ERB;198302;25.6
ERB;198303;16.2
ERB;198304;22.1
ERB;198305;21.6
ERB;198306;34.9
ERB;198307;21.1
ERB;198308;44.1
ERB;198309;52.8
ERB;198310;26.0
ERB;198311;38.1
ERB;198312;27.3
ERB;198401;21.0
ERB;198402;24.6
ERB;198403;17.9
ERB;198404;10.1
ERB;198405;18.8
ERB;198406;14.7
ERB;198407;22.2
ERB;198408;53.7
ERB;198409;29.9
ERB;198410;15.8
ERB;198411;32.0
ERB;198412;16.4
ERB;198501;19.8
ERB;198502;24.4
ERB;198503;12.0
ERB;198504;21.5
ERB;198505;55.5
ERB;198506;34.7
ERB;198507;28.8
ERB;198508;32.8
ERB;198509;18.1
ERB;198510;1.7
ERB;198511;31.2
ERB;198512;31.0
ERB;198601;32.6
ERB;198602;16.7
ERB;198603;22.2
ERB;198604;31.2
ERB;198605;32.0
ERB;198606;31.0
ERB;198607;42.0
ERB;198608;43.9
ERB;198609;21.8
ERB;198610;40.5
ERB;198611;13.1
ERB;198612;26.7
ERB;198701;22.6
ERB;198702;44.4
ERB;198703;15.7
ERB;198704;27.0
ERB;198705;22.7
ERB;198706;30.7
ERB;198707;27.8
ERB;198708;36.6
ERB;198709;34.2
ERB;198710;14.0
ERB;198711;16.6
ERB;198712;18.5
ERB;198801;20.4
ERB;198802;20.5
ERB;198803;24.7
ERB;198804;16.5
ERB;198805;12.8
ERB;198806;24.9
ERB;198807;12.7
ERB;198808;25.0
ERB;198809;14.8
ERB;198810;33.8
ERB;198811;13.5
ERB;198812;24.1
ERB;198901;6.0
ERB;198902;9.6
ERB;198903;18.4
ERB;198904;23.7
ERB;198905;18.3
ERB;198906;16.0
ERB;198907;44.0
ERB;198908;34.2
ERB;198909;16.7
ERB;198910;23.7
ERB;198911;17.5
ERB;198912;15.5
ERB;199001;17.4
ERB;199002;47.2
ERB;199003;15.0
ERB;199004;26.2
ERB;199005;25.7
ERB;199006;30.2
ERB;199007;32.4
ERB;199008;48.6
ERB;199009;35.7
ERB;199010;33.0
ERB;199011;31.2
ERB;199012;37.6
ERB;199101;32.2
ERB;199102;12.3
ERB;199103;19.4
ERB;199104;13.6
ERB;199105;42.3
ERB;199106;36.2
ERB;199107;20.8
ERB;199108;14.6
ERB;199109;44.9
ERB;199110;15.4
ERB;199111;18.8
ERB;199112;70.6
ERB;199201;13.3
ERB;199202;47.5
ERB;199203;20.6
ERB;199204;18.5
ERB;199205;9.8
ERB;199206;15.5
ERB;199207;25.5
ERB;199208;34.8
ERB;199209;23.2
ERB;199210;36.6
ERB;199211;28.6
ERB;199212;30.8
ERB;199301;20.6
ERB;199302;5.9
ERB;199303;11.8
ERB;199304;34.8
ERB;199305;33.6
ERB;199306;25.7
ERB;199307;59.6
ERB;199308;27.4
ERB;199309;27.8
ERB;199310;30.2
ERB;199311;15.1
ERB;199312;25.2
ERB;199401;31.9
ERB;199402;6.7
ERB;199403;17.6
ERB;199404;17.8
ERB;199405;44.8
ERB;199406;25.2
ERB;199407;40.5
ERB;199408;50.5
ERB;199409;32.2
ERB;199410;15.6
ERB;199411;19.0
ERB;199412;37.0
ERB;199501;42.9
ERB;199502;33.5
ERB;199503;19.2
ERB;199504;16.2
ERB;199505;31.5
ERB;199506;22.5
ERB;199507;31.6
ERB;199508;33.8
ERB;199509;23.9
ERB;199510;3.0
ERB;199511;16.1
ERB;199512;53.5
ERB;199601;8.2
ERB;199602;18.5
ERB;199603;20.5
ERB;199604;11.2
ERB;199605;26.8
ERB;199606;35.4
ERB;199607;38.8
ERB;199608;34.1
ERB;199609;15.3
ERB;199610;24.5
ERB;199611;40.0
ERB;199612;19.7
ERB;199701;28.8
ERB;199702;26.3
ERB;199703;14.0
ERB;199704;14.9
ERB;199705;25.3
ERB;199706;58.0
ERB;199707;37.7
ERB;199708;32.7
ERB;199709;38.1
ERB;199710;22.2
ERB;199711;13.7
ERB;199712;42.0
ERB;199801;15.4
ERB;199802;21.5
ERB;199803;14.3
ERB;199804;14.1
ERB;199805;13.1
ERB;199806;41.2
ERB;199807;26.7
ERB;199808;14.1
ERB;199809;20.5
ERB;199810;28.5
ERB;199811;18.7
ERB;199812;13.1
ERB;199901;37.8
ERB;199902;35.3
ERB;199903;18.1
ERB;199904;24.0
ERB;199905;29.0
ERB;199906;21.0
ERB;199907;20.2
ERB;199908;43.0
ERB;199909;35.7
