 

stn;time;rre150mx
TISON;201702;20.2
TISON;201703;65.0
TISON;201704;70.8
TISON;201705;39.8
TISON;201706;59.0
TISON;201707;28.8
TISON;201708;143.8
TISON;201709;136.2
TISON;201710;2.2
TISON;201711;41.8
TISON;201712;93.0
TISON;201801;27.0
TISON;201802;5.8
TISON;201803;75.2
TISON;201804;43.8
TISON;201805;27.0
TISON;201806;31.6
TISON;201807;35.4
TISON;201808;24.0
TISON;201809;20.6
TISON;201810;122.8
TISON;201811;49.2
TISON;201812;11.4
TISON;201901;8.4
TISON;201902;40.8
TISON;201903;27.0
TISON;201904;76.8
TISON;201905;20.0
TISON;201906;87.0
TISON;201907;43.4
TISON;201908;91.0
TISON;201909;91.6
TISON;201910;113.0
TISON;201911;52.2
TISON;201912;68.8
TISON;202001;11.2
TISON;202002;6.0
TISON;202003;35.6
TISON;202004;21.6
TISON;202005;43.4
TISON;202006;53.0
TISON;202007;27.8
TISON;202008;145.4
TISON;202009;53.8
TISON;202010;237.4
TISON;202011;3.8
TISON;202012;75.4
TISON;202101;37.4
TISON;202102;40.4
TISON;202103;7.6
TISON;202104;26.8
