 

stn;time;rre150mx
IYWEL;198201;6.0
IYWEL;198202;3.8
IYWEL;198203;13.0
IYWEL;198204;3.8
IYWEL;198205;28.8
IYWEL;198206;21.3
IYWEL;198207;12.5
IYWEL;198208;25.8
IYWEL;198209;10.1
IYWEL;198210;41.8
IYWEL;198211;21.5
IYWEL;198212;12.2
IYWEL;198301;8.0
IYWEL;198302;3.6
IYWEL;198303;4.8
IYWEL;198304;7.8
IYWEL;198305;25.2
IYWEL;198306;14.0
IYWEL;198307;23.8
IYWEL;198308;17.7
IYWEL;198309;25.8
IYWEL;198310;12.0
IYWEL;198311;6.2
IYWEL;198312;18.3
IYWEL;198401;6.9
IYWEL;198402;40.3
IYWEL;198403;16.0
IYWEL;198404;25.2
IYWEL;198405;25.0
IYWEL;198406;12.0
IYWEL;198407;14.0
IYWEL;198408;40.2
IYWEL;198409;34.0
IYWEL;198410;29.0
IYWEL;198411;5.6
IYWEL;198412;11.2
IYWEL;198501;16.0
IYWEL;198502;5.4
IYWEL;198503;7.2
IYWEL;198504;7.2
IYWEL;198505;16.2
IYWEL;198506;27.0
IYWEL;198507;23.6
IYWEL;198508;25.8
IYWEL;198509;10.8
IYWEL;198510;5.4
IYWEL;198511;5.0
IYWEL;198512;4.6
