 

stn;time;rre150mx
TIBED;200001;18.0
TIBED;200002;53.7
TIBED;200003;16.3
TIBED;200004;0.0
TIBED;200005;11.9
TIBED;200006;40.2
TIBED;200007;33.3
TIBED;200008;24.4
TIBED;200009;115.6
TIBED;200010;137.7
TIBED;200011;21.5
TIBED;200012;26.6
TIBED;200101;16.9
TIBED;200102;28.9
TIBED;200103;33.3
TIBED;200104;28.3
TIBED;200105;24.5
TIBED;200106;41.4
TIBED;200107;64.3
TIBED;200108;42.3
TIBED;200109;21.0
TIBED;200110;57.4
TIBED;200111;7.4
TIBED;200112;2.7
TIBED;200201;11.9
TIBED;200202;19.3
TIBED;200203;68.0
TIBED;200204;15.9
TIBED;200205;63.6
TIBED;200206;105.5
TIBED;200207;36.4
TIBED;200208;38.7
TIBED;200209;10.6
TIBED;200210;18.5
TIBED;200211;113.6
TIBED;200212;14.6
TIBED;200301;28.3
TIBED;200302;23.9
TIBED;200303;1.1
TIBED;200304;39.7
TIBED;200305;14.3
TIBED;200306;24.3
TIBED;200307;24.8
TIBED;200308;25.4
TIBED;200309;28.7
TIBED;200310;24.3
TIBED;200311;19.0
TIBED;200312;53.4
TIBED;200401;32.3
TIBED;200402;21.6
TIBED;200403;36.4
TIBED;200404;31.6
TIBED;200405;32.3
TIBED;200406;26.1
TIBED;200407;25.1
TIBED;200408;43.8
TIBED;200409;25.5
TIBED;200410;75.6
TIBED;200411;63.6
TIBED;200412;64.7
TIBED;200501;15.9
TIBED;200502;10.3
TIBED;200503;14.3
TIBED;200504;31.0
TIBED;200505;34.3
TIBED;200506;32.5
TIBED;200507;23.2
TIBED;200508;51.4
TIBED;200509;29.7
TIBED;200510;11.0
TIBED;200511;5.7
TIBED;200512;4.6
TIBED;200601;11.6
TIBED;200602;19.9
TIBED;200603;32.8
TIBED;200604;16.5
TIBED;200605;59.5
TIBED;200606;16.2
TIBED;200607;17.5
TIBED;200608;55.4
TIBED;200609;52.8
TIBED;200610;33.4
TIBED;200611;24.7
TIBED;200612;68.6
TIBED;200701;25.1
TIBED;200702;12.7
TIBED;200703;35.0
TIBED;200704;6.8
TIBED;200705;76.2
TIBED;200706;47.9
TIBED;200707;25.1
TIBED;200708;49.4
TIBED;200709;21.5
TIBED;200710;6.1
TIBED;200711;31.8
TIBED;200712;20.6
TIBED;200801;29.0
TIBED;200802;16.8
TIBED;200803;32.2
TIBED;200804;20.2
TIBED;200805;51.4
TIBED;200806;20.4
TIBED;200807;38.4
TIBED;200808;45.2
TIBED;200809;103.6
TIBED;200810;65.6
TIBED;200811;52.3
TIBED;200812;19.3
TIBED;200901;18.5
TIBED;200902;21.7
TIBED;200903;27.3
TIBED;200904;101.4
TIBED;200905;10.9
TIBED;200906;27.8
TIBED;200907;69.1
TIBED;200908;26.5
TIBED;200909;26.6
TIBED;200910;24.9
TIBED;200911;32.1
TIBED;200912;27.9
TIBED;201001;12.6
TIBED;201002;12.8
TIBED;201003;30.2
TIBED;201004;13.8
TIBED;201005;47.1
TIBED;201006;19.9
TIBED;201007;26.1
TIBED;201008;56.0
TIBED;201009;46.3
TIBED;201010;81.9
TIBED;201011;70.5
TIBED;201012;48.9
TIBED;201101;10.9
TIBED;201102;13.7
TIBED;201103;29.1
TIBED;201104;10.4
TIBED;201105;21.4
TIBED;201106;30.0
TIBED;201107;52.5
TIBED;201108;41.8
TIBED;201109;52.9
TIBED;201110;37.8
TIBED;201111;75.2
