 

stn;time;rre150mx
VAB;201111;0.5
VAB;201112;22.3
VAB;201201;9.8
VAB;201202;2.6
VAB;201203;3.4
VAB;201204;6.6
VAB;201205;8.1
VAB;201206;52.5
VAB;201207;33.3
VAB;201208;39.8
VAB;201209;20.1
VAB;201210;21.1
VAB;201211;20.6
VAB;201212;11.5
VAB;201301;2.8
VAB;201302;2.6
VAB;201303;5.2
VAB;201304;18.5
VAB;201305;28.8
VAB;201306;23.3
VAB;201307;24.0
VAB;201308;37.0
VAB;201309;45.3
VAB;201310;30.9
VAB;201311;14.8
VAB;201312;23.2
VAB;201401;8.3
VAB;201402;11.0
VAB;201403;6.8
VAB;201404;8.5
VAB;201405;14.3
VAB;201406;58.6
