 

stn;time;rre150mx
DOL;201101;43.1
DOL;201102;15.7
DOL;201103;11.8
DOL;201104;14.0
DOL;201105;27.7
DOL;201106;30.4
DOL;201107;36.8
DOL;201108;32.4
DOL;201109;23.9
DOL;201110;44.2
DOL;201111;8.5
DOL;201112;54.8
DOL;201201;48.4
DOL;201202;16.2
DOL;201203;17.2
DOL;201204;20.8
DOL;201205;24.6
DOL;201206;33.5
DOL;201207;27.2
DOL;201208;19.3
DOL;201209;49.1
DOL;201210;22.0
DOL;201211;56.3
DOL;201212;44.4
DOL;201301;24.5
DOL;201302;58.6
DOL;201303;21.6
DOL;201304;37.6
DOL;201305;27.6
DOL;201306;23.3
DOL;201307;42.9
DOL;201308;20.0
DOL;201309;40.3
DOL;201310;32.7
DOL;201311;48.5
DOL;201312;63.9
DOL;201401;36.8
DOL;201402;33.3
DOL;201403;36.0
DOL;201404;8.2
DOL;201405;34.3
DOL;201406;25.3
DOL;201407;35.0
DOL;201408;27.1
DOL;201409;50.0
DOL;201410;44.4
DOL;201411;32.0
DOL;201412;33.2
DOL;201501;46.0
DOL;201502;35.4
DOL;201503;70.7
DOL;201504;41.3
DOL;201505;99.7
DOL;201506;23.0
DOL;201507;29.8
DOL;201508;37.2
DOL;201509;53.6
DOL;201510;46.2
DOL;201511;115.8
DOL;201512;8.6
DOL;201601;48.9
DOL;201602;35.3
DOL;201603;35.9
DOL;201604;40.1
DOL;201605;48.2
DOL;201606;51.4
DOL;201607;33.7
DOL;201608;38.3
DOL;201609;17.0
DOL;201610;23.1
DOL;201611;44.3
DOL;201612;2.7
DOL;201701;31.9
DOL;201702;36.5
DOL;201703;67.6
DOL;201704;38.9
DOL;201705;40.1
DOL;201706;33.5
DOL;201707;43.7
DOL;201708;27.3
DOL;201709;17.3
DOL;201710;21.8
DOL;201711;45.0
DOL;201712;52.3
DOL;201801;72.6
DOL;201802;30.0
DOL;201803;29.1
DOL;201804;18.4
DOL;201805;24.6
DOL;201806;37.8
DOL;201807;66.4
DOL;201808;28.6
DOL;201809;11.1
DOL;201810;13.5
DOL;201811;32.8
DOL;201812;60.1
DOL;201901;35.7
DOL;201902;30.0
DOL;201903;-
DOL;201904;36.2
DOL;201905;26.1
DOL;201906;47.7
DOL;201907;40.4
DOL;201908;27.2
DOL;201909;30.7
DOL;201910;38.4
DOL;201911;47.8
DOL;201912;55.4
DOL;202001;31.4
DOL;202002;64.7
DOL;202003;54.4
DOL;202004;38.0
DOL;202005;29.9
DOL;202006;37.8
DOL;202007;17.4
DOL;202008;26.8
DOL;202009;33.0
DOL;202010;70.0
DOL;202011;24.5
DOL;202012;28.7
DOL;202101;57.0
DOL;202102;23.9
DOL;202103;28.1
DOL;202104;28.4
DOL;202105;53.2
