 

stn;time;rre150mx
IYPFE;193912;35.0
IYPFE;194001;24.0
IYPFE;194002;47.0
IYPFE;194003;27.0
IYPFE;194004;15.0
IYPFE;194005;45.0
IYPFE;194006;30.0
IYPFE;194007;115.0
IYPFE;194008;21.0
IYPFE;194009;33.0
IYPFE;194010;34.0
IYPFE;194011;40.0
IYPFE;194012;16.0
IYPFE;194101;55.0
IYPFE;194102;-
IYPFE;194103;40.0
IYPFE;194104;78.0
IYPFE;194105;40.0
IYPFE;194106;25.0
IYPFE;194107;42.0
IYPFE;194108;26.0
IYPFE;194109;20.0
IYPFE;194110;18.0
IYPFE;194111;40.0
IYPFE;194112;10.0
IYPFE;194201;10.0
IYPFE;194202;9.0
IYPFE;194203;4.0
IYPFE;194204;6.0
IYPFE;194205;17.0
IYPFE;194206;50.0
IYPFE;194207;30.0
IYPFE;194208;70.0
IYPFE;194209;90.6
IYPFE;194210;35.0
IYPFE;194211;157.0
IYPFE;194212;3.0
IYPFE;194301;4.5
IYPFE;194302;8.0
IYPFE;194303;11.0
IYPFE;194304;40.3
IYPFE;194305;24.3
IYPFE;194306;17.4
IYPFE;194307;45.0
IYPFE;194308;18.0
IYPFE;194309;80.0
IYPFE;194310;18.2
IYPFE;194311;17.3
IYPFE;194312;7.0
IYPFE;194401;7.1
IYPFE;194402;16.3
IYPFE;194403;15.2
IYPFE;194404;12.5
IYPFE;194405;23.6
