 

stn;time;rsd300y0
OTN;1900;4
OTN;1901;3
OTN;1902;2
OTN;1903;1
OTN;1904;3
OTN;1905;3
OTN;1906;4
OTN;1907;3
OTN;1908;6
OTN;1909;2
OTN;1910;10
OTN;1911;1
OTN;1912;8
OTN;1913;1
OTN;1914;7
OTN;1915;5
OTN;1916;5
OTN;1917;9
OTN;1918;7
OTN;1919;2
OTN;1920;1
OTN;1921;3
OTN;1922;6
OTN;1923;6
OTN;1924;3
OTN;1925;2
OTN;1926;2
OTN;1927;4
OTN;1928;5
OTN;1929;1
OTN;1930;6
OTN;1931;4
OTN;1932;4
OTN;1933;3
OTN;1934;5
OTN;1935;7
OTN;1936;5
OTN;1937;2
OTN;1938;5
OTN;1939;6
OTN;1940;12
OTN;1941;0
OTN;1942;2
OTN;1943;0
OTN;1944;6
OTN;1945;4
OTN;1946;2
OTN;1947;1
OTN;1948;5
OTN;1949;0
OTN;1950;2
OTN;1951;3
OTN;1952;2
OTN;1953;3
OTN;1954;3
OTN;1955;3
OTN;1956;4
OTN;1957;3
OTN;1958;2
OTN;1959;0
OTN;1960;1
OTN;1961;1
OTN;1962;3
OTN;1963;2
OTN;1964;2
OTN;1965;5
OTN;1966;4
OTN;1967;3
OTN;1968;7
OTN;1969;4
OTN;1970;4
OTN;1971;1
OTN;1972;4
OTN;1973;3
OTN;1974;1
OTN;1975;3
OTN;1976;0
OTN;1977;3
OTN;1978;3
OTN;1979;4
OTN;1980;3
OTN;1981;5
OTN;1982;7
OTN;1983;3
OTN;1984;1
OTN;1985;3
OTN;1986;4
