 

stn;time;rsd300y0
DLREI;1952;12
DLREI;1953;7
DLREI;1954;16
DLREI;1955;10
DLREI;1956;14
DLREI;1957;9
DLREI;1958;10
DLREI;1959;11
DLREI;1960;6
DLREI;1961;16
DLREI;1962;7
DLREI;1963;2
DLREI;1964;10
DLREI;1965;9
DLREI;1966;12
DLREI;1967;6
DLREI;1968;10
DLREI;1969;2
DLREI;1970;9
DLREI;1971;7
DLREI;1972;7
DLREI;1973;7
DLREI;1974;12
DLREI;1975;12
DLREI;1976;5
DLREI;1977;9
DLREI;1978;10
DLREI;1979;11
DLREI;1980;9
DLREI;1981;14
DLREI;1982;10
DLREI;1983;12
DLREI;1984;7
DLREI;1985;12
DLREI;1986;6
DLREI;1987;7
DLREI;1988;12
DLREI;1989;6
DLREI;1990;9
DLREI;1991;12
DLREI;1992;7
DLREI;1993;8
DLREI;1994;8
DLREI;1995;12
DLREI;1996;8
DLREI;1997;7
DLREI;1998;9
DLREI;1999;13
DLREI;2000;9
DLREI;2001;11
DLREI;2002;12
