 

stn;time;rsd300y0
HTW;1900;5
HTW;1901;3
HTW;1902;4
HTW;1903;2
HTW;1904;6
HTW;1905;8
HTW;1906;4
HTW;1907;4
HTW;1908;8
HTW;1909;5
HTW;1910;14
HTW;1911;3
HTW;1912;8
HTW;1913;5
HTW;1914;10
HTW;1915;4
HTW;1916;3
HTW;1917;5
HTW;1918;5
HTW;1919;6
HTW;1920;1
HTW;1921;3
HTW;1922;6
HTW;1923;7
HTW;1924;2
HTW;1925;3
HTW;1926;2
HTW;1927;3
HTW;1928;6
HTW;1929;3
HTW;1930;6
HTW;1931;4
HTW;1932;4
HTW;1933;1
HTW;1934;6
HTW;1935;9
HTW;1936;4
HTW;1937;4
HTW;1938;4
HTW;1939;4
HTW;1940;5
HTW;1941;3
HTW;1942;2
HTW;1943;3
HTW;1944;7
HTW;1945;1
HTW;1946;7
HTW;1947;1
HTW;1948;4
HTW;1949;0
HTW;1950;5
HTW;1951;3
HTW;1952;4
HTW;1953;5
HTW;1954;3
HTW;1955;3
HTW;1956;4
HTW;1957;6
HTW;1958;4
HTW;1959;4
HTW;1960;0
HTW;1961;3
HTW;1962;5
HTW;1963;1
HTW;1964;3
HTW;1965;8
HTW;1966;5
HTW;1967;4
HTW;1968;5
HTW;1969;3
HTW;1970;3
HTW;1971;0
HTW;1972;5
HTW;1973;1
HTW;1974;2
HTW;1975;3
HTW;1976;3
HTW;1977;5
HTW;1978;5
HTW;1979;2
HTW;1980;4
HTW;1981;6
HTW;1982;9
HTW;1983;3
HTW;1984;3
HTW;1985;5
HTW;1986;7
HTW;1987;5
HTW;1988;3
HTW;1989;1
HTW;1990;9
HTW;1991;6
HTW;1992;5
HTW;1993;2
HTW;1994;6
HTW;1995;6
HTW;1996;5
HTW;1997;4
HTW;1998;7
HTW;1999;8
HTW;2000;4
HTW;2001;4
HTW;2002;7
HTW;2003;2
HTW;2004;7
HTW;2005;1
HTW;2006;10
HTW;2007;6
HTW;2008;4
HTW;2009;3
HTW;2010;3
HTW;2011;7
HTW;2012;5
HTW;2013;5
HTW;2014;4
HTW;2015;3
HTW;2016;4
HTW;2017;7
HTW;2018;4
HTW;2019;0
HTW;2020;2
