 

stn;time;rsd300y0
MDO;1901;3
MDO;1902;1
MDO;1903;4
MDO;1904;4
MDO;1905;1
MDO;1906;2
MDO;1907;3
MDO;1908;6
MDO;1909;5
MDO;1910;5
MDO;1911;1
MDO;1912;4
MDO;1913;2
MDO;1914;6
MDO;1915;6
MDO;1916;4
MDO;1917;7
MDO;1918;4
MDO;1919;4
MDO;1920;0
MDO;1921;1
MDO;1922;2
MDO;1923;7
MDO;1924;4
MDO;1925;3
MDO;1926;4
MDO;1927;5
MDO;1928;7
MDO;1929;2
MDO;1930;3
MDO;1931;6
MDO;1932;5
MDO;1933;3
MDO;1934;2
MDO;1935;6
MDO;1936;2
MDO;1937;4
MDO;1938;4
MDO;1939;3
MDO;1940;5
MDO;1941;1
MDO;1942;3
MDO;1943;4
MDO;1944;5
MDO;1945;2
MDO;1946;9
MDO;1947;1
MDO;1948;4
MDO;1949;4
MDO;1950;14
MDO;1951;7
MDO;1952;8
MDO;1953;4
MDO;1954;7
MDO;1955;6
MDO;1956;4
MDO;1957;3
MDO;1958;7
MDO;1959;2
MDO;1960;5
MDO;1961;3
MDO;1962;3
MDO;1963;4
MDO;1964;3
MDO;1965;7
MDO;1966;3
MDO;1967;6
MDO;1968;7
MDO;1969;3
MDO;1970;1
MDO;1971;1
MDO;1972;2
MDO;1973;1
MDO;1974;2
MDO;1975;2
MDO;1976;5
MDO;1977;7
MDO;1978;2
MDO;1979;3
MDO;1980;7
MDO;1981;2
MDO;1982;7
MDO;1983;8
MDO;1984;2
MDO;1985;5
MDO;1986;7
MDO;1987;4
MDO;1988;4
MDO;1989;1
MDO;1990;6
MDO;1991;7
MDO;1992;6
MDO;1993;2
MDO;1994;8
MDO;1995;7
MDO;1996;6
MDO;1997;8
MDO;1998;3
MDO;1999;4
MDO;2000;5
MDO;2001;8
MDO;2002;8
MDO;2003;0
MDO;2004;6
MDO;2005;2
