 

stn;time;rsd300y0
MOU;1969;2
MOU;1970;4
MOU;1971;3
MOU;1972;3
MOU;1973;3
MOU;1974;3
MOU;1975;7
MOU;1976;5
MOU;1977;4
MOU;1978;5
MOU;1979;2
MOU;1980;1
MOU;1981;9
MOU;1982;9
MOU;1983;7
MOU;1984;3
MOU;1985;2
MOU;1986;9
MOU;1987;6
MOU;1988;5
MOU;1989;3
MOU;1990;7
MOU;1991;6
MOU;1992;3
MOU;1993;4
MOU;1994;3
MOU;1995;6
MOU;1996;2
MOU;1997;2
MOU;1998;4
MOU;1999;5
MOU;2000;2
MOU;2001;1
MOU;2002;6
MOU;2003;0
MOU;2004;2
MOU;2005;3
MOU;2006;9
MOU;2007;3
MOU;2008;3
MOU;2009;2
MOU;2010;2
MOU;2011;2
MOU;2012;5
MOU;2013;7
MOU;2014;5
MOU;2015;4
MOU;2016;3
MOU;2017;2
MOU;2018;4
MOU;2019;4
MOU;2020;0
