 

stn;time;rsd300y0
ALM;1973;13
ALM;1974;9
ALM;1975;18
ALM;1976;11
ALM;1977;7
ALM;1978;9
ALM;1979;8
ALM;1980;7
ALM;1981;15
ALM;1982;12
ALM;1983;9
ALM;1984;13
ALM;1985;11
ALM;1986;10
ALM;1987;14
ALM;1988;10
ALM;1989;8
ALM;1990;11
ALM;1991;11
ALM;1992;8
ALM;1993;17
ALM;1994;14
ALM;1995;17
ALM;1996;10
ALM;1997;9
ALM;1998;13
ALM;1999;13
ALM;2000;8
ALM;2001;9
ALM;2002;18
ALM;2003;6
ALM;2004;8
ALM;2005;10
ALM;2006;11
ALM;2007;13
ALM;2008;10
ALM;2009;12
ALM;2010;11
ALM;2011;12
ALM;2012;12
ALM;2013;12
ALM;2014;13
ALM;2015;8
ALM;2016;11
ALM;2017;11
ALM;2018;12
ALM;2019;10
ALM;2020;12
