 

stn;time;rsd300y0
DLHOH;1879;4
DLHOH;1880;3
DLHOH;1881;3
DLHOH;1882;3
DLHOH;1883;4
DLHOH;1884;1
DLHOH;1885;4
DLHOH;1886;6
DLHOH;1887;1
DLHOH;1888;5
DLHOH;1889;2
DLHOH;1890;5
DLHOH;1891;1
DLHOH;1892;7
DLHOH;1893;3
DLHOH;1894;1
DLHOH;1895;1
DLHOH;1896;4
DLHOH;1897;2
DLHOH;1898;3
DLHOH;1899;4
DLHOH;1900;2
DLHOH;1901;3
DLHOH;1902;0
DLHOH;1903;2
DLHOH;1904;3
DLHOH;1905;2
DLHOH;1906;4
DLHOH;1907;2
DLHOH;1908;2
DLHOH;1909;3
DLHOH;1910;4
DLHOH;1911;3
DLHOH;1912;7
DLHOH;1913;4
DLHOH;1914;2
DLHOH;1915;3
DLHOH;1916;5
DLHOH;1917;2
DLHOH;1918;4
DLHOH;1919;5
DLHOH;1920;5
DLHOH;1921;8
DLHOH;1922;7
DLHOH;1923;2
DLHOH;1924;5
DLHOH;1925;3
DLHOH;1926;1
DLHOH;1927;7
DLHOH;1928;1
DLHOH;1929;2
DLHOH;1930;4
DLHOH;1931;1
DLHOH;1932;3
DLHOH;1933;6
DLHOH;1934;6
DLHOH;1935;3
DLHOH;1936;5
DLHOH;1937;6
DLHOH;1938;5
DLHOH;1939;6
DLHOH;1940;6
DLHOH;1941;4
DLHOH;1942;1
DLHOH;1943;1
DLHOH;1944;5
DLHOH;1945;1
DLHOH;1946;3
DLHOH;1947;3
DLHOH;1948;3
DLHOH;1949;4
DLHOH;1950;3
DLHOH;1951;2
DLHOH;1952;1
DLHOH;1953;5
DLHOH;1954;9
DLHOH;1955;3
DLHOH;1956;4
DLHOH;1957;6
DLHOH;1958;3
DLHOH;1959;5
DLHOH;1960;2
DLHOH;1961;4
DLHOH;1962;4
DLHOH;1963;5
DLHOH;1964;7
DLHOH;1965;10
DLHOH;1966;8
DLHOH;1967;4
DLHOH;1968;5
DLHOH;1969;3
DLHOH;1970;3
DLHOH;1971;3
DLHOH;1972;4
DLHOH;1973;4
DLHOH;1974;6
DLHOH;1975;4
DLHOH;1976;2
DLHOH;1977;3
DLHOH;1978;8
DLHOH;1979;9
DLHOH;1980;5
DLHOH;1981;6
DLHOH;1982;4
DLHOH;1983;6
DLHOH;1984;4
DLHOH;1985;8
DLHOH;1986;5
DLHOH;1987;3
DLHOH;1988;5
DLHOH;1989;5
DLHOH;1990;9
DLHOH;1991;4
DLHOH;1992;3
DLHOH;1993;8
DLHOH;1994;2
DLHOH;1995;5
DLHOH;1996;3
DLHOH;1997;4
DLHOH;1998;4
DLHOH;1999;8
DLHOH;2000;6
DLHOH;2001;4
DLHOH;2002;8
DLHOH;2003;3
DLHOH;2004;3
DLHOH;2005;4
DLHOH;2006;7
DLHOH;2007;6
DLHOH;2008;4
DLHOH;2009;2
DLHOH;2010;6
DLHOH;2011;4
DLHOH;2012;4
DLHOH;2013;8
DLHOH;2014;3
DLHOH;2015;3
