 

stn;time;rsd300y0
DLMIT;1946;5
DLMIT;1947;3
DLMIT;1948;3
DLMIT;1949;5
DLMIT;1950;4
DLMIT;1951;4
DLMIT;1952;4
DLMIT;1953;3
DLMIT;1954;7
DLMIT;1955;3
DLMIT;1956;7
DLMIT;1957;6
DLMIT;1958;6
DLMIT;1959;7
DLMIT;1960;7
DLMIT;1961;5
DLMIT;1962;4
DLMIT;1963;2
DLMIT;1964;9
DLMIT;1965;3
DLMIT;1966;14
DLMIT;1967;5
DLMIT;1968;6
DLMIT;1969;6
DLMIT;1970;9
DLMIT;1971;5
DLMIT;1972;6
DLMIT;1973;6
DLMIT;1974;5
DLMIT;1975;8
DLMIT;1976;4
DLMIT;1977;4
DLMIT;1978;9
DLMIT;1979;10
DLMIT;1980;2
DLMIT;1981;8
DLMIT;1982;3
DLMIT;1983;14
DLMIT;1984;4
DLMIT;1985;7
DLMIT;1986;4
DLMIT;1987;4
DLMIT;1988;1
DLMIT;1989;3
DLMIT;1990;4
DLMIT;1991;4
DLMIT;1992;4
DLMIT;1993;4
DLMIT;1994;6
DLMIT;1995;7
DLMIT;1996;5
DLMIT;1997;4
DLMIT;1998;2
DLMIT;1999;4
DLMIT;2000;9
DLMIT;2001;11
DLMIT;2002;7
DLMIT;2003;5
DLMIT;2004;2
DLMIT;2005;6
DLMIT;2006;4
DLMIT;2007;4
DLMIT;2008;3
DLMIT;2009;5
DLMIT;2010;8
DLMIT;2011;10
DLMIT;2012;5
DLMIT;2013;10
DLMIT;2014;8
DLMIT;2015;5
