 

stn;time;rsd300y0
GRC;1892;1
GRC;1893;0
GRC;1894;0
GRC;1895;1
GRC;1896;6
GRC;1897;1
GRC;1898;2
GRC;1899;0
GRC;1900;3
GRC;1901;2
GRC;1902;1
GRC;1903;3
GRC;1904;1
GRC;1905;3
GRC;1906;0
GRC;1907;2
GRC;1908;1
GRC;1909;0
GRC;1910;1
GRC;1911;2
GRC;1912;0
GRC;1913;0
GRC;1914;4
GRC;1915;2
GRC;1916;4
GRC;1917;2
GRC;1918;2
GRC;1919;1
GRC;1920;7
GRC;1921;0
GRC;1922;3
GRC;1923;1
GRC;1924;1
GRC;1925;1
GRC;1926;4
GRC;1927;2
GRC;1928;7
GRC;1929;0
GRC;1930;6
GRC;1931;1
GRC;1932;3
GRC;1933;0
GRC;1934;6
GRC;1935;1
GRC;1936;2
GRC;1937;1
GRC;1938;2
GRC;1939;2
GRC;1940;1
GRC;1941;1
GRC;1942;2
GRC;1943;0
GRC;1944;3
GRC;1945;3
GRC;1946;4
GRC;1947;3
GRC;1948;1
GRC;1949;2
GRC;1950;2
GRC;1951;5
GRC;1952;1
GRC;1953;2
GRC;1954;1
GRC;1955;2
GRC;1956;1
GRC;1957;2
GRC;1958;0
GRC;1959;2
GRC;1960;0
GRC;1961;2
GRC;1962;5
GRC;1963;1
GRC;1964;1
GRC;1965;3
GRC;1966;1
GRC;1967;0
GRC;1968;1
GRC;1969;2
GRC;1970;0
GRC;1971;3
GRC;1972;4
GRC;1973;1
GRC;1974;0
GRC;1975;4
GRC;1976;3
GRC;1977;4
GRC;1978;4
GRC;1979;5
GRC;1980;2
GRC;1981;4
GRC;1982;0
GRC;1983;1
GRC;1984;3
GRC;1985;3
GRC;1986;5
GRC;1987;2
GRC;1988;1
GRC;1989;3
GRC;1990;3
GRC;1991;4
GRC;1992;2
GRC;1993;2
GRC;1994;3
GRC;1995;2
GRC;1996;1
GRC;1997;0
GRC;1998;0
GRC;1999;1
GRC;2000;4
GRC;2001;1
GRC;2002;2
GRC;2003;1
GRC;2004;4
GRC;2005;2
GRC;2006;1
GRC;2007;2
GRC;2008;4
GRC;2009;2
GRC;2010;3
GRC;2011;1
GRC;2012;1
GRC;2013;2
GRC;2014;1
GRC;2015;2
GRC;2016;0
GRC;2017;1
GRC;2018;3
GRC;2019;1
GRC;2020;1
