 

stn;time;rre150yx
SEV;1903;85.7
SEV;1904;53.3
SEV;1905;69.8
SEV;1906;82.7
SEV;1907;61.3
SEV;1908;69.6
SEV;1909;45.8
SEV;1910;99.4
SEV;1911;54.6
SEV;1912;45.9
SEV;1913;30.1
SEV;1914;77.1
SEV;1915;43.8
SEV;1916;44.7
SEV;1917;88.9
SEV;1918;46.9
SEV;1919;45.7
SEV;1920;63.2
SEV;1921;37.0
SEV;1922;88.5
SEV;1923;66.4
SEV;1924;63.2
SEV;1925;57.0
SEV;1926;59.2
SEV;1927;55.0
SEV;1928;45.0
SEV;1929;44.6
SEV;1930;51.0
SEV;1931;62.5
SEV;1932;65.8
SEV;1933;52.4
SEV;1934;60.2
SEV;1935;52.4
SEV;1936;60.8
SEV;1937;42.6
SEV;1938;45.2
SEV;1939;43.6
SEV;1940;58.4
SEV;1941;38.5
SEV;1942;55.6
SEV;1943;52.6
SEV;1944;82.4
SEV;1945;42.4
SEV;1946;38.4
SEV;1947;55.4
SEV;1948;72.3
SEV;1949;31.4
SEV;1950;44.2
SEV;1951;35.8
SEV;1952;50.2
SEV;1953;30.6
SEV;1954;84.2
SEV;1955;38.0
