 

stn;time;rre150yx
BNW;1900;46.4
BNW;1901;32.2
BNW;1902;48.0
BNW;1903;44.0
BNW;1904;47.0
BNW;1905;48.5
BNW;1906;64.0
BNW;1907;31.2
BNW;1908;39.8
BNW;1909;49.0
BNW;1910;63.5
BNW;1911;27.5
BNW;1912;47.5
BNW;1913;41.8
BNW;1914;35.0
BNW;1915;56.0
BNW;1916;40.7
BNW;1917;53.1
BNW;1918;43.3
BNW;1919;31.1
BNW;1920;31.0
BNW;1921;37.2
BNW;1922;53.8
BNW;1923;46.4
BNW;1924;74.2
BNW;1925;31.0
BNW;1926;64.5
BNW;1927;36.5
BNW;1928;63.5
BNW;1929;38.0
BNW;1930;32.3
BNW;1931;51.0
BNW;1932;38.0
BNW;1933;30.5
BNW;1934;39.0
BNW;1935;50.5
BNW;1936;32.3
BNW;1937;38.4
BNW;1938;48.2
BNW;1939;35.7
BNW;1940;51.7
BNW;1941;35.2
BNW;1942;27.5
BNW;1943;28.0
BNW;1944;84.0
BNW;1945;31.1
BNW;1946;50.8
BNW;1947;24.4
BNW;1948;50.9
BNW;1949;28.6
BNW;1950;34.9
BNW;1951;67.5
BNW;1952;42.5
BNW;1953;36.4
BNW;1954;82.0
BNW;1955;35.0
BNW;1956;53.0
BNW;1957;27.0
BNW;1958;36.0
BNW;1959;40.2
BNW;1960;31.2
BNW;1961;33.5
BNW;1962;33.9
BNW;1963;44.5
BNW;1964;47.9
BNW;1965;35.7
BNW;1966;51.7
BNW;1967;35.1
BNW;1968;48.4
BNW;1969;45.0
BNW;1970;37.1
BNW;1971;46.2
BNW;1972;43.3
BNW;1973;58.9
BNW;1974;33.1
BNW;1975;38.4
BNW;1976;52.5
BNW;1977;46.7
BNW;1978;59.6
BNW;1979;33.7
BNW;1980;50.5
BNW;1981;52.4
BNW;1982;47.8
BNW;1983;45.6
BNW;1984;35.1
BNW;1985;29.1
BNW;1986;42.8
BNW;1987;65.6
BNW;1988;27.8
BNW;1989;40.0
BNW;1990;65.6
BNW;1991;53.9
BNW;1992;49.9
BNW;1993;40.9
BNW;1994;58.1
