 

stn;time;rre150yx
SIH;1961;45.0
SIH;1962;37.9
SIH;1963;37.4
SIH;1964;49.7
SIH;1965;45.7
SIH;1966;39.0
SIH;1967;47.5
SIH;1968;67.8
SIH;1969;48.5
SIH;1970;51.8
SIH;1971;50.7
SIH;1972;67.7
SIH;1973;117.5
SIH;1974;53.0
SIH;1975;68.6
SIH;1976;87.7
SIH;1977;40.3
SIH;1978;100.0
SIH;1979;51.7
SIH;1980;36.1
SIH;1981;74.8
SIH;1982;67.6
SIH;1983;46.2
SIH;1984;108.6
SIH;1985;50.0
SIH;1986;50.2
SIH;1987;52.4
SIH;1988;63.8
SIH;1989;63.8
SIH;1990;45.5
SIH;1991;74.2
SIH;1992;54.4
SIH;1993;73.9
SIH;1994;77.9
SIH;1995;57.8
SIH;1996;63.3
SIH;1997;47.4
SIH;1998;43.0
SIH;1999;64.2
SIH;2000;81.3
SIH;2001;49.5
SIH;2002;67.8
SIH;2003;52.3
SIH;2004;66.0
SIH;2005;77.6
SIH;2006;51.9
SIH;2007;71.4
SIH;2008;114.7
SIH;2009;64.5
SIH;2010;84.2
SIH;2011;93.2
SIH;2012;68.1
SIH;2013;75.9
SIH;2014;56.5
SIH;2015;52.0
SIH;2016;52.0
SIH;2017;53.6
SIH;2018;47.3
SIH;2019;69.4
SIH;2020;69.0
