 

stn;time;rre150yx
ZUB;1972;74.7
ZUB;1973;103.8
ZUB;1974;90.8
ZUB;1975;88.5
ZUB;1976;130.6
ZUB;1977;66.0
ZUB;1978;140.7
ZUB;1979;67.0
ZUB;1980;46.5
ZUB;1981;112.5
ZUB;1982;68.5
ZUB;1983;69.6
ZUB;1984;104.8
ZUB;1985;52.1
ZUB;1986;58.0
ZUB;1987;52.2
ZUB;1988;72.9
ZUB;1989;78.0
ZUB;1990;49.2
ZUB;1991;56.0
ZUB;1992;48.8
ZUB;1993;61.1
ZUB;1994;57.8
ZUB;1995;41.6
ZUB;1996;60.1
ZUB;1997;49.7
ZUB;1998;57.2
ZUB;1999;61.5
ZUB;2000;51.2
ZUB;2001;46.7
ZUB;2002;105.6
ZUB;2003;50.0
ZUB;2004;65.8
ZUB;2005;107.9
ZUB;2006;43.0
ZUB;2007;84.0
ZUB;2008;84.8
ZUB;2009;58.0
ZUB;2010;73.9
ZUB;2011;90.0
ZUB;2012;62.5
ZUB;2013;60.2
ZUB;2014;43.7
ZUB;2015;59.2
