 

stn;time;rre150yx
DIS;1959;68.4
DIS;1960;84.9
DIS;1961;77.6
DIS;1962;44.7
DIS;1963;61.4
DIS;1964;73.6
DIS;1965;61.0
DIS;1966;99.6
DIS;1967;52.0
DIS;1968;82.7
DIS;1969;58.4
DIS;1970;56.6
DIS;1971;45.0
DIS;1972;41.6
DIS;1973;62.2
DIS;1974;43.4
DIS;1975;61.0
DIS;1976;72.4
DIS;1977;69.1
DIS;1978;88.0
DIS;1979;75.0
DIS;1980;62.2
DIS;1981;71.5
DIS;1982;78.1
DIS;1983;69.4
DIS;1984;107.5
DIS;1985;87.8
DIS;1986;44.5
DIS;1987;118.9
DIS;1988;56.2
DIS;1989;61.7
DIS;1990;60.7
DIS;1991;97.1
DIS;1992;59.9
DIS;1993;68.1
DIS;1994;50.8
DIS;1995;89.3
DIS;1996;120.2
DIS;1997;47.8
DIS;1998;118.6
DIS;1999;81.9
DIS;2000;84.6
DIS;2001;71.5
DIS;2002;120.9
DIS;2003;74.0
DIS;2004;54.2
DIS;2005;35.3
DIS;2006;37.9
DIS;2007;55.5
DIS;2008;82.3
DIS;2009;88.3
DIS;2010;50.8
DIS;2011;62.7
DIS;2012;68.6
DIS;2013;84.9
DIS;2014;105.1
DIS;2015;38.0
DIS;2016;77.2
