 

stn;time;rre150yx
SGD;1973;56.2
SGD;1974;65.7
SGD;1975;51.8
SGD;1976;50.1
SGD;1977;74.5
SGD;1978;98.5
SGD;1979;100.5
SGD;1980;62.8
SGD;1981;73.8
SGD;1982;57.6
SGD;1983;63.5
SGD;1984;42.6
SGD;1985;47.3
SGD;1986;68.1
SGD;1987;47.8
SGD;1988;80.9
SGD;1989;68.0
SGD;1990;136.1
SGD;1991;90.4
SGD;1992;59.3
SGD;1993;69.6
SGD;1994;46.3
SGD;1995;55.0
SGD;1996;62.0
SGD;1997;74.5
SGD;1998;39.8
SGD;1999;47.0
SGD;2000;49.5
SGD;2001;82.5
SGD;2002;98.7
SGD;2003;64.8
SGD;2004;89.2
SGD;2005;74.7
SGD;2006;56.3
SGD;2007;67.7
SGD;2008;44.7
SGD;2009;55.9
SGD;2010;58.7
SGD;2011;57.7
SGD;2012;54.6
SGD;2013;65.7
SGD;2014;65.1
SGD;2015;97.2
SGD;2016;46.1
SGD;2017;58.3
SGD;2018;84.0
SGD;2019;43.1
SGD;2020;68.6
