 

stn;time;rre150yx
DMA;1973;27.6
DMA;1974;40.6
DMA;1975;52.6
DMA;1976;43.7
DMA;1977;35.7
DMA;1978;46.0
DMA;1979;81.6
DMA;1980;45.0
DMA;1981;53.0
DMA;1982;51.1
DMA;1983;44.2
DMA;1984;63.8
DMA;1985;57.9
DMA;1986;30.0
DMA;1987;47.8
DMA;1988;56.1
DMA;1989;33.0
DMA;1990;58.3
DMA;1991;62.4
DMA;1992;31.7
DMA;1993;49.2
DMA;1994;37.5
DMA;1995;36.0
DMA;1996;67.0
DMA;1997;35.5
DMA;1998;38.9
DMA;1999;55.3
DMA;2000;42.5
DMA;2001;77.5
DMA;2002;50.3
DMA;2003;32.1
DMA;2004;38.9
DMA;2005;53.0
DMA;2006;30.0
DMA;2007;68.0
DMA;2008;56.1
DMA;2009;57.9
DMA;2010;35.3
DMA;2011;69.0
DMA;2012;41.6
DMA;2013;37.0
DMA;2014;50.7
DMA;2015;24.0
DMA;2016;57.4
DMA;2017;40.3
DMA;2018;56.1
DMA;2019;54.5
DMA;2020;48.2
