 

stn;time;rs1000m0
BNW;190001;0
BNW;190002;0
BNW;190003;0
BNW;190004;0
BNW;190005;0
BNW;190006;0
BNW;190007;0
BNW;190008;0
BNW;190009;0
BNW;190010;0
BNW;190011;0
BNW;190012;0
BNW;190101;0
BNW;190102;0
BNW;190103;0
BNW;190104;0
BNW;190105;0
BNW;190106;0
BNW;190107;0
BNW;190108;0
BNW;190109;0
BNW;190110;0
BNW;190111;0
BNW;190112;0
BNW;190201;0
BNW;190202;0
BNW;190203;0
BNW;190204;0
BNW;190205;0
BNW;190206;0
BNW;190207;0
BNW;190208;0
BNW;190209;0
BNW;190210;0
BNW;190211;0
BNW;190212;0
BNW;190301;0
BNW;190302;0
BNW;190303;0
BNW;190304;0
BNW;190305;0
BNW;190306;0
BNW;190307;0
BNW;190308;0
BNW;190309;0
BNW;190310;0
BNW;190311;0
BNW;190312;0
BNW;190401;0
BNW;190402;0
BNW;190403;0
BNW;190404;0
BNW;190405;0
BNW;190406;0
BNW;190407;0
BNW;190408;0
BNW;190409;0
BNW;190410;0
BNW;190411;0
BNW;190412;0
BNW;190501;0
BNW;190502;0
BNW;190503;0
BNW;190504;0
BNW;190505;0
BNW;190506;0
BNW;190507;0
BNW;190508;0
BNW;190509;0
BNW;190510;0
BNW;190511;0
BNW;190512;0
BNW;190601;0
BNW;190602;0
BNW;190603;0
BNW;190604;0
BNW;190605;0
BNW;190606;0
BNW;190607;0
BNW;190608;0
BNW;190609;0
BNW;190610;0
BNW;190611;0
BNW;190612;0
BNW;190701;0
BNW;190702;0
BNW;190703;0
BNW;190704;0
BNW;190705;0
BNW;190706;0
BNW;190707;0
BNW;190708;0
BNW;190709;0
BNW;190710;0
BNW;190711;0
BNW;190712;0
BNW;190801;0
BNW;190802;0
BNW;190803;0
BNW;190804;0
BNW;190805;0
BNW;190806;0
BNW;190807;0
BNW;190808;0
BNW;190809;0
BNW;190810;0
BNW;190811;0
BNW;190812;0
BNW;190901;0
BNW;190902;0
BNW;190903;0
BNW;190904;0
BNW;190905;0
BNW;190906;0
BNW;190907;0
BNW;190908;0
BNW;190909;0
BNW;190910;0
BNW;190911;0
BNW;190912;0
BNW;191001;0
