 

stn;time;rs1000m0
SUS;191001;0
SUS;191002;0
SUS;191003;0
SUS;191004;0
SUS;191005;0
SUS;191006;0
SUS;191007;0
SUS;191008;0
SUS;191009;0
SUS;191010;0
SUS;191011;0
SUS;191012;0
SUS;191101;0
SUS;191102;0
SUS;191103;0
SUS;191104;0
SUS;191105;0
SUS;191106;0
SUS;191107;0
SUS;191108;0
SUS;191109;0
SUS;191110;0
SUS;191111;0
SUS;191112;0
SUS;191201;0
SUS;191202;0
SUS;191203;0
SUS;191204;0
SUS;191205;0
SUS;191206;0
SUS;191207;0
SUS;191208;0
SUS;191209;0
SUS;191210;0
SUS;191211;0
SUS;191212;0
SUS;191301;0
SUS;191302;0
SUS;191303;0
SUS;191304;0
SUS;191305;0
SUS;191306;0
SUS;191307;0
SUS;191308;0
SUS;191309;0
SUS;191310;0
SUS;191311;0
SUS;191312;0
SUS;191401;0
SUS;191402;0
SUS;191403;0
