 

stn;time;rs1000m0
BIN;193501;0
BIN;193502;0
BIN;193503;0
BIN;193504;0
BIN;193505;0
BIN;193506;0
BIN;193507;0
BIN;193508;0
BIN;193509;0
BIN;193510;0
BIN;193511;0
BIN;193512;0
BIN;193601;0
BIN;193602;0
BIN;193603;0
BIN;193604;0
BIN;193605;0
BIN;193606;0
BIN;193607;0
BIN;193608;0
BIN;193609;0
BIN;193610;0
BIN;193611;0
BIN;193612;0
BIN;193701;0
BIN;193702;0
BIN;193703;0
BIN;193704;0
BIN;193705;1
BIN;193706;0
BIN;193707;0
BIN;193708;0
BIN;193709;0
BIN;193710;0
BIN;193711;0
BIN;193712;0
BIN;193801;0
BIN;193802;0
BIN;193803;0
BIN;193804;0
BIN;193805;0
BIN;193806;0
BIN;193807;0
BIN;193808;0
BIN;193809;0
BIN;193810;0
BIN;193811;0
BIN;193812;0
BIN;193901;0
BIN;193902;0
BIN;193903;0
BIN;193904;0
BIN;193905;0
BIN;193906;0
BIN;193907;0
BIN;193908;0
BIN;193909;0
BIN;193910;0
BIN;193911;0
BIN;193912;0
BIN;194001;0
BIN;194002;0
BIN;194003;0
BIN;194004;0
BIN;194005;0
BIN;194006;0
BIN;194007;0
BIN;194008;0
BIN;194009;0
BIN;194010;0
BIN;194011;0
BIN;194012;0
BIN;194101;0
BIN;194102;0
BIN;194103;0
BIN;194104;0
BIN;194105;0
BIN;194106;0
BIN;194107;0
BIN;194108;0
BIN;194109;0
BIN;194110;0
BIN;194111;0
BIN;194112;0
BIN;194201;0
BIN;194202;0
BIN;194203;0
BIN;194204;0
BIN;194205;0
BIN;194206;0
BIN;194207;0
BIN;194208;0
BIN;194209;0
BIN;194210;0
BIN;194211;0
BIN;194212;0
BIN;194301;0
BIN;194302;0
BIN;194303;0
BIN;194304;0
BIN;194305;0
BIN;194306;0
BIN;194307;0
BIN;194308;0
BIN;194309;0
BIN;194310;0
BIN;194311;0
BIN;194312;0
BIN;194401;0
BIN;194402;0
BIN;194403;0
BIN;194404;0
BIN;194405;0
BIN;194406;0
BIN;194407;0
BIN;194408;0
BIN;194409;0
BIN;194410;0
BIN;194411;0
BIN;194412;0
BIN;194501;0
BIN;194502;0
BIN;194503;0
BIN;194504;0
BIN;194505;0
BIN;194506;0
BIN;194507;0
BIN;194508;0
BIN;194509;0
BIN;194510;0
BIN;194511;0
BIN;194512;0
BIN;194601;0
