 

stn;time;rs1000m0
GOS;193501;0
GOS;193502;0
GOS;193503;0
GOS;193504;0
GOS;193505;0
GOS;193506;0
GOS;193507;0
GOS;193508;0
GOS;193509;0
GOS;193510;0
GOS;193511;0
GOS;193512;0
GOS;193601;0
GOS;193602;0
GOS;193603;0
GOS;193604;0
GOS;193605;0
GOS;193606;0
GOS;193607;0
GOS;193608;0
GOS;193609;0
GOS;193610;0
GOS;193611;0
GOS;193612;0
GOS;193701;0
GOS;193702;0
GOS;193703;0
GOS;193704;0
GOS;193705;0
GOS;193706;0
GOS;193707;0
GOS;193708;0
GOS;193709;0
GOS;193710;0
GOS;193711;0
GOS;193712;0
GOS;193801;0
GOS;193802;0
GOS;193803;0
GOS;193804;0
GOS;193805;0
GOS;193806;0
GOS;193807;0
GOS;193808;0
GOS;193809;0
GOS;193810;0
GOS;193811;0
GOS;193812;0
GOS;193901;0
GOS;193902;0
GOS;193903;0
GOS;193904;0
GOS;193905;0
GOS;193906;0
GOS;193907;0
GOS;193908;0
GOS;193909;0
GOS;193910;0
GOS;193911;0
GOS;193912;0
GOS;194001;0
GOS;194002;0
GOS;194003;0
GOS;194004;0
GOS;194005;0
GOS;194006;0
GOS;194007;0
GOS;194008;0
GOS;194009;0
GOS;194010;0
GOS;194011;0
GOS;194012;0
GOS;194101;0
GOS;194102;0
GOS;194103;0
GOS;194104;0
GOS;194105;0
GOS;194106;0
GOS;194107;0
GOS;194108;0
GOS;194109;0
GOS;194110;0
GOS;194111;0
GOS;194112;0
GOS;194201;0
GOS;194202;0
GOS;194203;0
GOS;194204;0
GOS;194205;0
GOS;194206;0
GOS;194207;0
GOS;194208;0
GOS;194209;0
GOS;194210;0
GOS;194211;0
GOS;194212;0
GOS;194301;0
GOS;194302;0
GOS;194303;0
GOS;194304;0
GOS;194305;0
GOS;194306;0
GOS;194307;0
GOS;194308;0
GOS;194309;0
GOS;194310;0
GOS;194311;0
GOS;194312;0
GOS;194401;0
GOS;194402;0
GOS;194403;0
GOS;194404;0
GOS;194405;0
GOS;194406;0
GOS;194407;0
GOS;194408;0
GOS;194409;0
GOS;194410;0
GOS;194411;0
GOS;194412;0
GOS;194501;0
GOS;194502;0
GOS;194503;0
GOS;194504;0
GOS;194505;0
GOS;194506;0
GOS;194507;0
GOS;194508;0
GOS;194509;0
GOS;194510;1
GOS;194511;0
GOS;194512;0
GOS;194601;0
