 

stn;time;rs1000m0
KOL;193501;0
KOL;193502;0
KOL;193503;0
KOL;193504;0
KOL;193505;0
KOL;193506;0
KOL;193507;0
KOL;193508;0
KOL;193509;0
KOL;193510;0
KOL;193511;0
KOL;193512;0
KOL;193601;0
KOL;193602;0
KOL;193603;0
KOL;193604;0
KOL;193605;0
KOL;193606;0
KOL;193607;0
KOL;193608;0
KOL;193609;0
KOL;193610;0
KOL;193611;0
KOL;193612;0
KOL;193701;0
KOL;193702;0
KOL;193703;0
KOL;193704;0
KOL;193705;0
KOL;193706;0
KOL;193707;0
KOL;193708;0
KOL;193709;0
KOL;193710;0
KOL;193711;0
KOL;193712;0
KOL;193801;0
KOL;193802;0
KOL;193803;0
KOL;193804;0
KOL;193805;0
KOL;193806;0
KOL;193807;0
KOL;193808;0
KOL;193809;0
KOL;193810;0
KOL;193811;0
KOL;193812;0
KOL;193901;0
KOL;193902;0
KOL;193903;0
KOL;193904;0
KOL;193905;0
KOL;193906;0
KOL;193907;0
KOL;193908;0
KOL;193909;0
KOL;193910;0
KOL;193911;0
KOL;193912;0
KOL;194001;0
KOL;194002;0
KOL;194003;0
KOL;194004;0
KOL;194005;0
KOL;194006;0
KOL;194007;0
KOL;194008;0
KOL;194009;0
KOL;194010;0
KOL;194011;0
KOL;194012;0
KOL;194101;0
KOL;194102;0
KOL;194103;0
KOL;194104;0
KOL;194105;0
KOL;194106;0
KOL;194107;0
KOL;194108;0
KOL;194109;0
KOL;194110;0
KOL;194111;0
KOL;194112;0
KOL;194201;0
KOL;194202;0
KOL;194203;0
KOL;194204;0
KOL;194205;0
KOL;194206;0
KOL;194207;0
KOL;194208;0
KOL;194209;0
KOL;194210;0
KOL;194211;0
KOL;194212;0
KOL;194301;0
KOL;194302;0
KOL;194303;0
KOL;194304;0
KOL;194305;0
KOL;194306;0
KOL;194307;0
KOL;194308;0
KOL;194309;0
KOL;194310;0
KOL;194311;0
KOL;194312;0
KOL;194401;0
KOL;194402;0
KOL;194403;0
KOL;194404;0
KOL;194405;0
KOL;194406;0
KOL;194407;0
KOL;194408;0
KOL;194409;0
KOL;194410;0
KOL;194411;0
KOL;194412;0
KOL;194501;0
KOL;194502;0
KOL;194503;0
KOL;194504;0
KOL;194505;0
KOL;194506;0
KOL;194507;0
KOL;194508;0
KOL;194509;0
KOL;194510;0
KOL;194511;0
KOL;194512;0
KOL;194601;0
