 

stn;time;rs1000m0
LFB;193501;0
LFB;193502;0
LFB;193503;0
LFB;193504;0
LFB;193505;0
LFB;193506;0
LFB;193507;0
LFB;193508;0
LFB;193509;0
LFB;193510;0
LFB;193511;0
LFB;193512;0
LFB;193601;0
LFB;193602;0
LFB;193603;0
LFB;193604;0
LFB;193605;0
LFB;193606;0
LFB;193607;0
LFB;193608;0
LFB;193609;0
LFB;193610;0
LFB;193611;0
LFB;193612;0
LFB;193701;0
LFB;193702;0
LFB;193703;0
LFB;193704;0
LFB;193705;0
LFB;193706;0
LFB;193707;0
LFB;193708;0
LFB;193709;0
LFB;193710;0
LFB;193711;0
LFB;193712;0
LFB;193801;0
LFB;193802;0
LFB;193803;0
LFB;193804;0
LFB;193805;0
LFB;193806;0
LFB;193807;0
LFB;193808;0
LFB;193809;0
LFB;193810;0
LFB;193811;0
LFB;193812;0
LFB;193901;0
LFB;193902;0
LFB;193903;0
LFB;193904;0
LFB;193905;0
LFB;193906;0
LFB;193907;0
LFB;193908;0
LFB;193909;0
LFB;193910;0
LFB;193911;0
LFB;193912;0
LFB;194001;0
LFB;194002;0
LFB;194003;0
LFB;194004;0
LFB;194005;0
LFB;194006;0
LFB;194007;0
LFB;194008;0
LFB;194009;0
LFB;194010;0
LFB;194011;0
LFB;194012;0
LFB;194101;0
LFB;194102;0
LFB;194103;0
LFB;194104;0
LFB;194105;0
LFB;194106;0
LFB;194107;0
LFB;194108;0
LFB;194109;0
LFB;194110;0
LFB;194111;0
LFB;194112;0
LFB;194201;0
LFB;194202;0
LFB;194203;0
LFB;194204;0
LFB;194205;0
LFB;194206;0
LFB;194207;0
LFB;194208;0
LFB;194209;0
LFB;194210;0
LFB;194211;0
LFB;194212;0
LFB;194301;0
LFB;194302;0
LFB;194303;0
LFB;194304;0
LFB;194305;0
LFB;194306;0
LFB;194307;0
LFB;194308;0
LFB;194309;0
LFB;194310;0
LFB;194311;0
LFB;194312;0
LFB;194401;0
LFB;194402;0
LFB;194403;0
LFB;194404;0
LFB;194405;0
LFB;194406;0
LFB;194407;0
LFB;194408;0
LFB;194409;0
LFB;194410;0
LFB;194411;0
LFB;194412;0
LFB;194501;0
LFB;194502;0
LFB;194503;0
LFB;194504;0
LFB;194505;0
LFB;194506;0
LFB;194507;0
LFB;194508;0
LFB;194509;0
LFB;194510;0
LFB;194511;0
LFB;194512;0
LFB;194601;0
