 

stn;time;rs1000m0
NEU;193501;0
NEU;193502;0
NEU;193503;0
NEU;193504;0
NEU;193505;0
NEU;193506;0
NEU;193507;0
NEU;193508;0
NEU;193509;0
NEU;193510;0
NEU;193511;0
NEU;193512;0
NEU;193601;0
NEU;193602;0
NEU;193603;0
NEU;193604;0
NEU;193605;0
NEU;193606;0
NEU;193607;0
NEU;193608;0
NEU;193609;0
NEU;193610;0
NEU;193611;0
NEU;193612;0
NEU;193701;0
NEU;193702;0
NEU;193703;0
NEU;193704;0
NEU;193705;0
NEU;193706;0
NEU;193707;0
NEU;193708;0
NEU;193709;0
NEU;193710;0
NEU;193711;0
NEU;193712;0
NEU;193801;0
NEU;193802;0
NEU;193803;0
NEU;193804;0
NEU;193805;0
NEU;193806;0
NEU;193807;0
NEU;193808;0
NEU;193809;0
NEU;193810;0
NEU;193811;0
NEU;193812;0
NEU;193901;0
NEU;193902;0
NEU;193903;0
NEU;193904;0
NEU;193905;0
NEU;193906;0
NEU;193907;0
NEU;193908;0
NEU;193909;0
NEU;193910;0
NEU;193911;0
NEU;193912;0
NEU;194001;0
NEU;194002;0
NEU;194003;0
NEU;194004;0
NEU;194005;0
NEU;194006;0
NEU;194007;0
NEU;194008;0
NEU;194009;0
NEU;194010;0
NEU;194011;0
NEU;194012;0
NEU;194101;0
NEU;194102;0
NEU;194103;0
NEU;194104;0
NEU;194105;0
NEU;194106;0
NEU;194107;0
NEU;194108;0
NEU;194109;0
NEU;194110;0
NEU;194111;0
NEU;194112;0
NEU;194201;0
NEU;194202;0
NEU;194203;0
NEU;194204;0
NEU;194205;0
NEU;194206;0
NEU;194207;0
NEU;194208;0
NEU;194209;0
NEU;194210;0
NEU;194211;0
NEU;194212;0
NEU;194301;0
NEU;194302;0
NEU;194303;0
NEU;194304;0
NEU;194305;0
NEU;194306;0
NEU;194307;0
NEU;194308;0
NEU;194309;0
NEU;194310;0
NEU;194311;0
NEU;194312;0
NEU;194401;0
NEU;194402;0
NEU;194403;0
NEU;194404;0
NEU;194405;0
NEU;194406;0
NEU;194407;0
NEU;194408;0
NEU;194409;0
NEU;194410;0
NEU;194411;0
NEU;194412;0
NEU;194501;0
NEU;194502;0
NEU;194503;0
NEU;194504;0
NEU;194505;0
NEU;194506;0
NEU;194507;0
NEU;194508;0
NEU;194509;0
NEU;194510;0
NEU;194511;0
NEU;194512;0
NEU;194601;0
